"simulation","esd_qalys_mean","esd_qalys_sd","surgery_qalys_mean","surgery_qalys_sd","esd_costs_mean","esd_costs_sd","surgery_costs_mean","surgery_costs_sd","delta_qalys","delta_costs","icer"
1,16.9939766461815,3.26742026645696,15.5436529582464,4.80860811595252,132120.20614905,36099.1772101722,172437.688891419,22838.110426176,-1.45032368793512,40317.4827423686,-27798.9548662547
2,13.4809966421447,2.47947407494742,13.436863538413,3.85985116757356,115476.823192426,27875.262112888,135108.122056766,16196.6242106068,-0.0441331037316584,19631.29886434,-444820.264255688
3,10.8740235937623,2.1451875982423,11.9750884466476,3.37937402182032,110083.092991591,21045.7576438983,118985.420947113,13361.5155526714,1.10106485288536,8902.32795552193,8085.19855319442
4,13.3019853342053,2.63292381931461,11.0782795945235,3.26357102019764,115059.757217403,23179.0933011183,124576.172660359,16600.7058304479,-2.22370573968184,9516.41544295635,-4279.53000846143
5,14.4744690591135,3.12281018675096,10.8196535485675,3.28732094497489,110378.742122726,25197.5390925931,122140.649083445,13418.4717980188,-3.65481551054597,11761.9069607189,-3218.1944414923
6,10.4823888093995,2.73105276359953,13.8269643694229,4.1100405952,120959.624780751,25883.070499973,130813.924977784,22436.7795460754,3.34457556002341,9854.3001970324,2946.35298864751
7,14.5305030936154,3.46031401518404,17.8548278663004,5.40818960919464,131541.320298675,34376.1924436866,161257.717200388,19446.8657179904,3.324324772685,29716.3969017128,8939.0775371539
8,12.6935800824628,2.70308671507853,8.93533205173598,2.77962876220225,125314.236205541,28789.8029485235,145038.639799804,20406.431979211,-3.75824803072682,19724.4035942623,-5248.29746014599
9,13.7322599035309,2.66984113113372,14.0833423797615,4.2379173116333,123154.34468604,33211.0711953981,152118.987032197,19138.0994572631,0.351082476230614,28964.642346157,82500.9628994732
10,14.8799092701607,2.86475809043531,12.7861603497692,3.88188842856537,124128.854739275,18289.8018411281,107703.312132559,14355.2435760252,-2.09374892039151,-16425.5426067165,7845.03932001795
11,14.7537388757508,2.98002174798439,16.1003820802073,4.92148728356317,133482.829804076,27873.8969465224,143667.129233289,17379.4366003755,1.34664320445645,10184.2994292135,7562.73034721487
12,13.4549621456135,2.46098883137936,13.0646065233923,3.83453182661752,133388.578479666,25000.7240672437,137987.319584725,15899.8893813649,-0.390355622221216,4598.74110505811,-11780.9014223753
13,13.5492748626293,3.1230389760716,9.30591104824865,2.64799691669609,112013.057176559,36167.5490631708,156285.10684717,25503.8933566173,-4.24336381438062,44272.049670611,-10433.2439091304
14,15.7743901202771,2.93109973271066,15.9021056630362,4.68702152453971,131108.340918833,20785.1424656257,124719.005873719,16578.444543092,0.127715542759139,-6389.33504511358,-50027.8580592444
15,16.113174415015,3.08958449464514,13.4531542205094,3.66602154770186,118524.592105206,25815.0899462294,133429.670133941,16864.967859521,-2.66002019450553,14905.0780287354,-5603.37025242251
16,12.4357115000501,2.71041982924973,14.4426036808437,4.33610272258658,110083.239623146,18123.5954613819,107521.552825223,14975.7856486429,2.00689218079361,-2561.68679792331,-1276.44465529299
17,12.3689940462137,2.86799001948428,15.0551713764642,4.6022911169244,124888.334916474,21235.2559522782,119479.454020539,15036.5872097009,2.68617733025059,-5408.88089593533,-2013.59784963666
18,14.010342578559,3.74949944361586,8.30050253100653,2.41492035854922,154470.268188828,31689.4089838959,173330.46638425,26319.0895539575,-5.70984004755249,18860.1981954221,-3303.10447199068
19,10.1905863118618,3.47594054663892,15.2180220349436,4.60837459689121,90866.3994521123,19953.6971817817,99347.8891117176,16059.738556667,5.02743572308185,8481.48965960526,1687.04089455888
20,13.5549787561548,2.42092734316775,13.139984804057,3.9034030399948,121863.622131071,28995.9559984818,143245.94022548,17785.676593676,-0.414993952097818,21382.3180944094,-51524.4089373366
21,13.5996805682818,2.7059719605494,15.2214914135913,4.65500703066693,121295.679640769,24414.8993102579,130990.40474327,16415.1522107356,1.62181084530943,9694.72510250111,5977.71628580483
22,14.7543695774184,2.77097113096113,13.3326180686757,3.92561598786939,130106.238246703,28087.5267757613,146387.905471115,22512.6366025486,-1.42175150874275,16281.6672244124,-11451.8374865733
23,15.0869959025651,2.7408086804453,14.5150744883395,4.32801315836819,106633.810280495,36602.3937324653,152990.220670833,21323.938784038,-0.571921414225599,46356.4103903384,-81053.8113057132
24,14.0030461442058,3.05091205420899,10.2797552174662,3.02262423157332,109032.925403795,40166.5508864952,152636.110265157,17552.6962293385,-3.7232909267396,43603.184861362,-11710.9260918121
25,10.4491046491892,3.06909540975078,14.460202229634,4.45283114116438,86994.8061591493,29027.9364785111,122328.532770047,18458.3094445923,4.0110975804448,35333.7266108978,8808.99202830653
26,13.3107671081654,3.46668111863861,7.64723524644689,2.21752942022521,121380.670440951,28763.7597644971,134666.794242056,12145.9253065836,-5.66353186171856,13286.1238011049,-2345.90784081389
27,13.7874198067871,2.60800714903038,12.0539028848713,3.5751036408756,124478.040946861,25089.8063083919,137251.77839065,16905.9936563318,-1.7335169219158,12773.7374437891,-7368.68344479282
28,15.6193162393787,2.90349888259738,15.7508462417506,4.79285031437386,94779.1909612523,32227.0347084492,132419.098391643,19555.238736154,0.131530002371838,37639.9074303903,286169.746458163
29,15.1117646953086,2.94144293643887,15.3770601995868,4.7377514503915,119534.762212477,29716.6862088434,144715.138309311,20462.1655710868,0.265295504278212,25180.3760968339,94914.4470628782
30,14.4558712113107,2.72153003883844,12.1841959856488,3.63132838350231,106292.104510557,23594.7724199224,118018.698597666,14935.0739693873,-2.27167522566186,11726.5940871091,-5162.09093388008
31,12.9736674802281,2.4371842202978,12.6446450629423,3.80344710010402,106725.030074767,26982.0145434209,125558.550675064,16191.0717208179,-0.329022417285779,18833.5206002969,-57240.8432095941
32,15.1082257705388,2.94052405303227,15.8366760597257,4.82825953485312,99894.5383197135,30397.5472972905,133365.153539739,17171.9508916051,0.728450289186819,33470.6152200259,45947.6998181848
33,14.3268378438786,2.97561241660486,10.7509649766526,3.37064842960911,114416.506264499,21733.962034694,119152.159086259,18970.6023770576,-3.57587286722601,4735.65282175987,-1324.3347841484
34,12.4304026768588,2.33810530465899,13.383372509188,3.81142942469716,148949.128175489,27028.5348042757,149832.437294413,17497.2652719342,0.952969832329247,883.309118924517,926.901449509199
35,16.9727298076725,3.16689115981868,16.9025363390663,5.0818236083397,127577.006524351,19203.2739814814,113331.859787886,13334.0941649252,-0.0701934686061811,-14245.1467364651,202941.199791497
36,10.9114847638309,1.93807711914634,10.1968583724756,2.88967423568164,129441.904900587,31147.8237625848,153004.605469352,18834.6941342029,-0.714626391355294,23562.7005687651,-32972.05484404
37,13.7388047913168,2.73049502315797,14.6196106663984,4.42477199200731,121109.149678099,31843.3808978411,143794.190105868,14306.9157533523,0.880805875081586,22685.0404277685,25754.8695683567
38,15.2389593668493,2.85787541518395,13.5214606334774,4.04690292694859,124542.06702583,32480.0140295092,151398.747938374,22289.859702976,-1.71749873337192,26856.6809125436,-15637.0892104337
39,11.6615385984057,3.55805748492363,16.1135587993442,4.99857376746798,123151.092011038,20213.0756715484,100351.800780122,11166.756361094,4.45202020093846,-22799.2912309163,-5121.1113611098
40,15.8793476739583,3.33455617037897,11.9466664206389,3.57733652365419,121204.301628579,25838.2113790034,129050.097407467,16192.7479884155,-3.93268125331943,7845.79577888816,-1995.02458335921
41,12.7358623831483,2.88053874674065,15.1011510774054,4.519449612272,133362.529061331,34145.9362396732,162107.572146085,20931.9220373437,2.36528869425713,28745.0430847535,12152.8687616636
42,17.3714728500149,3.27943669663618,15.5554147693359,4.60092470413737,93472.836766485,37605.8957344974,140947.561291812,19125.0302312759,-1.816058080679,47474.7245253271,-26141.633370876
43,15.9472470646888,2.90782492151938,15.883833535054,4.73837451247543,137502.239194085,27255.6091162262,148266.288176586,17109.4379868277,-0.0634135296348326,10764.0489825012,-169743.728893283
44,14.4914356065243,2.78970980914404,14.2589258227308,4.21717773339356,117819.11516004,33119.3110004634,147065.888779335,16201.2707262826,-0.232509783793525,29246.7736192953,-125787.281473141
45,13.2127538029069,2.48364772524957,13.6121881611656,3.92506656165768,114687.905119473,26164.6708564749,128235.027284745,15642.6707484698,0.399434358258613,13547.1221652717,33915.7658453122
46,15.6711152726579,3.30549195867449,11.8674483672193,3.46188260170972,137208.950166373,29545.8791445385,154910.794353889,18935.6131652001,-3.80366690543854,17701.8441875156,-4653.88916211493
47,13.5232767049065,2.68701596539692,14.8200967406852,4.29686902369186,104536.820876487,34293.1555504581,140966.926348168,19102.3893448022,1.29682003577874,36430.1054716815,28091.8743284262
48,16.5637296334433,3.78444678011944,11.6096134515305,3.46483458890607,127723.853943842,21497.0210146308,122364.289361895,13541.6165408819,-4.95411618191282,-5359.56458194727,1081.8407128833
49,16.8019038403358,3.36442728141202,13.3141929239427,3.985783452523,124883.23970216,24394.2073911753,133754.945104437,17533.1203050797,-3.4877109163931,8871.70540227776,-2543.70434217428
50,15.4579510220992,2.81087576867877,15.1343658491016,4.48750306009925,116415.146785059,28635.8575252,135914.510619724,23163.952510963,-0.323585172997547,19499.3638346653,-60260.3748930521
51,15.4008446016352,2.92848589396394,13.6897568845143,4.19255520869275,99103.6845339411,28503.6848967087,128675.110159456,19177.282185883,-1.71108771712096,29571.4256255146,-17282.2382684569
52,16.6127249019654,3.69579160682001,11.3679953119476,3.40874158482034,107175.977164346,32095.793065938,139469.21687107,20313.3581496535,-5.2447295900178,32293.2397067245,-6157.27448907711
53,15.3191228050103,2.87779570066741,13.0760330538292,3.90713158329663,131544.083939751,35703.0748999489,159467.299277066,18490.6451179618,-2.24308975118109,27923.2153373154,-12448.5501851241
54,13.1799732075358,2.43138211836042,11.63215904289,3.36691122384456,94617.5293403623,17947.5403690535,98010.4336916363,16338.7953354938,-1.54781416464579,3392.90435127403,-2192.06183065942
55,14.8114117778794,2.83375798881212,14.8741453413688,4.51835407656122,135758.627076765,38942.7269549436,170354.975359745,21707.8717037501,0.0627335634893385,34596.3482829805,551480.680495062
56,17.0765225867948,3.33458364904398,16.7389469983822,5.27783644819036,103519.710642947,32113.2442740138,128427.025398686,14100.1930473761,-0.337575588412616,24907.3147557382,-73782.9262858137
57,13.8911091094034,3.51105951564169,17.4682198295449,5.43555449313297,128325.035971256,31459.6311449435,150440.364485094,17753.4182679805,3.57711072014152,22115.3285138384,6182.45568674023
58,13.1461395637863,2.46486616841789,12.4118501580208,3.70332438878969,109312.7508401,24712.8812723249,122982.630254583,15172.3947485674,-0.734289405765537,13669.8794144834,-18616.4737052577
59,12.9235118388243,2.33661852126117,11.7065763432931,3.68316146522218,140044.116182629,34597.7876723467,166644.862851217,18770.4916034336,-1.21693549553126,26600.7466685876,-21858.7975831661
60,12.2040970007152,2.23274672675882,11.8991245953301,3.4883565595554,127527.35307018,35011.8625798624,161096.468590026,15821.472507374,-0.304972405385078,33569.1155198458,-110072.632563131
61,12.8978129819989,2.96891473694969,15.6335017715068,4.76058687148365,110366.651267641,34916.6640930623,153022.164128129,22666.8762709561,2.73568878950796,42655.5128604879,15592.2387897638
62,15.2629554913584,2.97817714425513,15.7317762320592,4.9014196375286,120330.053377991,28751.8176725219,136489.363697751,13362.0424722295,0.468820740700782,16159.3103197599,34467.9936634316
63,12.068071229076,2.26121000921123,11.2297480128375,3.28656123696563,120281.758201351,23964.5681315876,128352.624636589,18115.3835829522,-0.838323216238479,8070.86643523778,-9627.39225027242
64,16.4892392335221,3.28139773909926,13.1811611985385,4.17659659446527,91278.923351064,26684.2482664054,118545.060968811,13749.2213881007,-3.30807803498358,27266.137617747,-8242.28973119804
65,15.7126676455102,2.89392747944119,14.9757253616276,4.56544227168011,127443.780753575,22652.5891236537,128953.02792373,12894.4790912671,-0.736942283882529,1509.24717015581,-2047.98557928369
66,15.2821563507378,3.19524607423322,12.4591581463498,3.67474620675336,108766.173370568,26866.6958029126,122832.466447711,15665.2853014904,-2.82299820438798,14066.2930771431,-4982.74956579104
67,12.4453283282585,2.71628145884626,14.390394039393,4.35244820118144,110041.263621962,33467.5047564429,148324.931657519,17323.7968069065,1.94506571113445,38283.6680355571,19682.4548478768
68,16.8014307354333,3.23926904354479,14.5195741681314,4.50519069207442,136018.022511806,24777.3175450653,138933.027662894,18455.2411843203,-2.28185656730189,2915.00515108783,-1277.47080726225
69,17.1441966724465,3.21146933482701,16.7864098864105,4.93885681766155,130867.116978825,36012.441683388,168949.196838033,24501.1734588459,-0.357786786036026,38082.0798592088,-106437.915947444
70,15.2325669404942,3.02558581414564,12.5179651846956,3.87490718537,121843.165288211,26963.2568384268,137407.839118534,15686.5519872475,-2.7146017557986,15564.6738303239,-5733.6859069941
71,16.1416498884042,3.081044780132,15.4616076684033,4.65581067762754,115283.038442414,20883.2369597201,111758.7972192,9544.74360138673,-0.680042220000894,-3524.24122321402,5182.38591599414
72,12.4175656299252,2.75788328031309,14.5753281126133,4.62125528927708,113616.78399872,29392.5288537572,135925.991311962,15660.8961479494,2.1577624826881,22309.2073132424,10339.0468099389
73,13.4895658159511,2.79252307179904,15.3700265371792,4.55744559933867,135282.622385888,36535.5466411523,167795.717593437,14846.3777005027,1.88046072122803,32513.0952075494,17289.9624227815
74,11.6578072798795,2.25738972551205,9.40792899013166,2.79390202615832,98836.3121811605,30349.9609440779,128697.780563404,19942.4018025777,-2.24987828974782,29861.4683822436,-13272.4816797048
75,13.8519409328711,2.99962708707067,16.0848600457854,4.82881237785263,132942.733233504,25616.1371759219,141373.076918929,19792.8009918875,2.23291911291426,8430.34368542532,3775.48100003613
76,16.5733447491887,3.16982090181252,14.7943686066493,4.64550425886111,119934.339201489,23842.7180106958,125703.527530084,18076.9561876028,-1.77897614253939,5769.18832859496,-3242.98240467676
77,15.4680575551715,3.11497474345968,16.2413760735737,5.37370821304433,106400.928855231,24655.6183073553,119438.826723407,14331.8688564883,0.773318518402208,13037.8978681764,16859.6736763975
78,12.2328353820779,3.58932271402574,16.4903010435578,5.17305117683184,112690.995329292,19949.1181381628,112042.245472055,14153.1052924009,4.25746566147985,-648.749857237199,-152.379351666151
79,9.1290215348419,2.06520760059798,10.9467167592233,3.20777105451454,113960.092523794,31160.2893448718,142460.242335579,16692.6978692922,1.81769522438136,28500.1498117845,15679.2785883477
80,13.4080626560478,2.80394112725055,14.9333123613989,4.59117525082211,110766.158160526,20344.8799006485,111925.512610117,14926.813942106,1.5252497053511,1159.3544495914,760.107964960743
81,12.4132185025417,2.47070794682183,13.3497142841485,4.11635505887211,103519.481571603,33145.5620781301,138003.845831531,17643.9516167587,0.936495781606832,34484.3642599272,36822.7651818775
82,14.3073360016225,2.71874177377005,13.310393883459,3.88019531987298,98008.5525121078,26188.5798325256,118465.604077671,16620.6224662812,-0.99694211816348,20457.0515655634,-20519.7986852521
83,15.9583234572155,3.18130073146399,16.7503102139689,5.16752165003517,134001.214851454,28026.9837783907,145635.126022523,15882.7460090069,0.791986756753426,11633.9111710686,14689.5274092199
84,14.6872433392431,4.8460792658333,6.03025238076258,1.60247573974142,107466.686584615,16292.9032246437,96236.9158429617,16633.4317978413,-8.65699095848055,-11229.7707416528,1297.19099806289
85,13.341366123194,2.83629935779438,9.77130291279182,2.95640098073515,105284.251139466,21803.6756661887,109288.858891278,12323.4165782998,-3.57006321040216,4004.60775181226,-1121.71900490276
86,16.8229134701723,3.34839019498991,13.8625203521524,4.19796019904007,131201.465940209,32237.7222031999,157113.615997974,16537.8348970094,-2.96039311801986,25912.1500577659,-8752.94226974083
87,9.19624194407737,2.45419705057346,11.9912619544661,3.5797464878802,130866.522767089,32101.9469364194,152116.55766827,18669.1336046259,2.79502001038873,21250.034901181,7602.82030976429
88,17.3113549114492,3.99828580867134,11.9573311285669,3.53470438766055,97972.5744560335,24467.1788053035,119296.875047722,21505.14407872,-5.35402378288225,21324.300591688,-3982.85503696595
89,16.1240631079434,3.19196655961858,14.0022839492708,4.2694426880005,125788.456288503,40879.7140613206,174250.924968739,24130.240046688,-2.12177915867265,48462.4686802364,-22840.4867123654
90,14.9280137194278,3.00373820970237,12.477537351879,3.68868648274323,120490.708669795,27944.2322775491,134819.865342072,18696.2799020761,-2.45047636754881,14329.1566722775,-5847.49841379242
91,15.5970101960611,3.17549788864902,12.5411744678377,3.71923403418927,94733.0962424699,27984.9778473167,122655.985486652,17040.8632733969,-3.05583572822339,27922.8892441818,-9137.5622669402
92,16.1862642995348,3.2016568269342,16.4469467852998,4.99175180757422,133204.074241842,30423.5561022405,152606.632134944,20307.6346971183,0.260682485765059,19402.557893102,74429.8483887735
93,15.4636463408042,3.04407854769718,13.4728998410948,4.2587063194814,107381.322211696,25705.995308689,121619.8988054,15300.1045207113,-1.9907464997094,14238.5765937047,-7152.38057471563
94,11.9544731010827,2.60154700804655,14.127739544208,4.14903992079716,105300.078182084,30518.5042384609,138850.305153148,17100.3149076305,2.17326644312534,33550.2269710645,15437.6961357837
95,15.1391481208077,3.07281246071182,11.7950567459575,3.43333969332028,122257.582427067,41643.1882345915,171769.327616737,16140.3167341009,-3.34409137485014,49511.7451896697,-14805.7393293832
96,16.8268561512064,3.81667774491462,11.5461389017593,3.36115789147172,108850.382497022,30222.7587199323,140969.660385058,18330.4817748405,-5.28071724944706,32119.2778880368,-6082.37032410701
97,15.8904852633136,3.18480638832848,15.199718797434,4.82348980362322,111536.357017637,22629.0443818406,115858.140951989,15320.1960739832,-0.690766465879641,4321.78393435209,-6256.50512557614
98,14.7653231467438,2.94361235441445,15.0350361634576,4.64034230120271,124630.350356001,34992.6271113843,157941.694312558,14684.6246615631,0.269713016713787,33311.3439565575,123506.623308087
99,12.7430102535488,2.48196498897375,12.5723974652914,3.860620634918,98162.3871643082,29248.7965722325,129255.220194242,20356.4560973112,-0.17061278825749,31092.8330299334,-182242.101236913
100,15.4960701749665,3.98356323686109,10.3454592804449,3.04800232790723,101670.176803655,23877.8114147429,118529.799690425,12019.6169213432,-5.15061089452158,16859.62288677,-3273.32489913043
